Тип канала;День тип;Off от;Off до
Нац;Рабочий;0:30:00;18:59:59
Нац;Пятница;1:00:00;18:59:59
Нац;Выходной_В;0:30:00;7:59:59
Нац;Выходной_С;1:00:00;7:59:59
ЕРК;Рабочий;0:00:00;16:59:59
ЕРК;Пятница;5:00:00;16:59:59
ЕРК;Выходной_В;0:00:00;4:59:59
ЕРК;Выходной_С;0:00:00;0:00:00
ЦРК;Рабочий;0:00:00;14:59:59
ЦРК;Пятница;0:00:00;14:59:59
ЦРК;Выходной_В;0:00:00;14:59:59
ЦРК;Выходной_С;0:00:00;14:59:59
Нац;Рабочий_new;0:00:00;18:59:59
Нац;Пятница_new;0:00:00;18:59:59
Нац;Выходной_В_new;0:00:00;7:59:59
Нац;Выходной_С_new;0:00:00;7:59:59
ЕРК;Рабочий_new;0:00:00;16:59:59
ЕРК;Пятница_new;5:00:00;16:59:59
ЕРК;Выходной_В_new;0:00:00;4:59:59
ЕРК;Выходной_С_new;0:00:00;0:00:00
ЦРК;Рабочий_new;0:00:00;14:59:59
ЦРК;Пятница_new;0:00:00;14:59:59
ЦРК;Выходной_В_new;0:00:00;14:59:59
ЦРК;Выходной_С_new;0:00:00;14:59:59
